City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,26.03,83,75,10.29,CK,1702331664
1,port-aux-francais,-49.35,70.2167,5.65,98,99,10.34,TF,1702331700
2,tindouf,27.6711,-8.1474,17.25,27,80,3.09,DZ,1702331735
3,tiksi,71.6872,128.8694,-22.19,100,100,3.85,RU,1702331735
4,hawaiian paradise park,19.5933,-154.9731,25.57,94,75,1.54,US,1702331736
5,grytviken,-54.2811,-36.5092,2.31,77,32,5.49,GS,1702331695
6,puerto natales,-51.7236,-72.4875,12.25,47,75,8.75,CL,1702331714
7,iqaluit,63.7506,-68.5145,-15.15,72,100,4.12,CA,1702331699
8,waitangi,-43.9535,-176.5597,14.34,91,100,3.13,NZ,1702331693
9,kanazawa,36.5944,136.6256,10.16,95,100,2.46,JP,1702331737
10,blackmans bay,-43.0167,147.3167,16.07,79,20,0.89,AU,1702331700
11,isafjordur,66.0755,-23.124,-4.88,82,93,0.82,IS,1702331737
12,enewetak,11.3474,162.3373,27.79,79,14,8.73,MH,1702331738
13,west island,-12.1568,96.8225,24.99,83,93,3.09,CC,1702331698
14,lucas,41.6501,-83.6666,1.32,66,100,3.13,US,1702331702
15,kerikeri,-35.2268,173.9474,19.95,66,32,3.13,NZ,1702331739
16,akureyri,65.6835,-18.0878,-5.04,86,75,1.03,IS,1702331700
17,igarape miri,-1.975,-48.9597,26.86,78,100,1.23,BR,1702331642
18,chonchi,-42.6128,-73.8092,13.56,93,100,2.32,CL,1702331726
19,minas de marcona,-15.2119,-75.1103,18.3,71,7,6.71,PE,1702331740
20,la passe,45.5549,-0.8967,14.13,90,100,5.47,FR,1702331700
21,klyuchi,52.2667,79.1667,-24.13,87,28,6.26,RU,1702331602
22,tralee,52.2704,-9.7026,7.75,94,100,2.2,IE,1702331691
23,minas,-34.3759,-55.2377,22.48,66,79,6.33,UY,1702331741
24,invercargill,-46.4,168.35,10.41,58,64,8.63,NZ,1702331695
25,tura,25.5198,90.2201,14.71,89,0,1.44,IN,1702331706
26,olonkinbyen,70.9221,-8.7187,-0.16,99,100,5.61,SJ,1702331714
27,luwuk,-0.9516,122.7875,26.18,83,89,1.56,ID,1702331742
28,margaret river,-33.95,115.0667,15.59,72,0,4.31,AU,1702331714
29,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,87,40,7.6,RU,1702331743
30,soure,-0.7167,-48.5233,27.32,81,75,6.75,BR,1702331743
31,ribeira grande,38.5167,-28.7,14.22,77,40,2.57,PT,1702331724
32,edinburgh of the seven seas,-37.0676,-12.3116,13.53,90,100,9.22,SH,1702331692
33,utrik,11.2278,169.8474,27.15,71,20,9.34,MH,1702331721
34,puerto ayora,-0.7393,-90.3518,27.98,78,72,3.75,EC,1702331715
35,chitipa,-9.7024,33.2697,18.98,90,100,1.58,MW,1702331745
36,rongelap,11.1635,166.8941,27.67,76,73,8.9,MH,1702331745
