City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,1.63,77,26,4.14,GS,1702337452
1,nuku'alofa,-21.1333,-175.2,29.19,58,20,5.14,TO,1702337453
2,hermanus,-34.4187,19.2345,16.52,83,75,4.79,ZA,1702337453
3,baiyin,36.5583,104.2081,-2.07,50,0,0.66,CN,1702337454
4,yellowknife,62.456,-114.3525,-25.71,76,20,1.03,CA,1702337454
5,ilulissat,69.2167,-51.1,3.01,60,100,7.72,GL,1702337454
6,dubbo,-32.25,148.6167,28.07,47,1,6.17,AU,1702337454
7,zhanaozen,43.3,52.8,-9.96,90,88,10.22,KZ,1702337455
8,invercargill,-46.4,168.35,11.42,53,65,8.93,NZ,1702337455
9,papatowai,-46.5619,169.4708,10.81,58,51,9.26,NZ,1702337456
10,christchurch,-43.5333,172.6333,10.3,88,100,2.57,NZ,1702337170
11,severo-yeniseyskiy,60.3725,93.0408,-40.24,100,70,0.45,RU,1702337456
12,west island,-12.1568,96.8225,25.99,78,40,2.57,CC,1702337457
13,nova sintra,14.8667,-24.7167,23.0,69,34,6.16,CV,1702337457
14,port-aux-francais,-49.35,70.2167,5.93,98,99,10.98,TF,1702337457
15,puerto natales,-51.7236,-72.4875,8.94,72,64,2.58,CL,1702337458
16,ust-nera,64.5667,143.2,-19.87,98,100,3.5,RU,1702337458
17,salinopolis,-0.6136,-47.3561,27.46,79,39,6.26,BR,1702337458
18,blackmans bay,-43.0167,147.3167,21.96,56,36,0.89,AU,1702337459
19,atafu village,-8.5421,-172.5159,28.53,80,100,11.06,TK,1702337181
20,anadyr,64.75,177.4833,-25.56,75,20,5.0,RU,1702337460
21,iqaluit,63.7506,-68.5145,-15.15,78,75,4.63,CA,1702337460
22,udachny,66.4167,112.4,-24.8,97,100,3.87,RU,1702337460
23,isafjordur,66.0755,-23.124,-5.0,82,89,1.76,IS,1702337461
24,ancud,-41.8697,-73.8203,11.22,79,100,4.93,CL,1702337462
25,teknaf,20.8624,92.3058,18.09,81,1,2.61,BD,1702337327
26,colinas,-6.0258,-44.2492,24.53,85,42,1.44,BR,1702337463
27,maceio,-9.6658,-35.7353,24.69,94,0,2.57,BR,1702337463
28,la romana,18.4273,-68.9728,26.2,89,20,4.12,DO,1702337464
29,kourou,5.1552,-52.6478,28.03,88,86,2.88,GF,1702337465
30,haci zeynalabdin,40.6233,49.5586,7.08,81,100,6.25,AZ,1702337468
31,albany,42.6001,-73.9662,1.95,72,16,2.68,US,1702337216
32,sarandi del yi,-33.35,-55.6333,20.09,76,61,6.66,UY,1702337469
33,tiksi,71.6872,128.8694,-21.98,100,100,3.69,RU,1702337470
34,mount pearl,47.5166,-52.7813,12.19,95,75,10.8,CA,1702337387
35,mugango,-1.6833,33.7,20.28,87,100,1.9,TZ,1702337470
36,muravlenko,63.7898,74.523,-28.14,86,100,5.85,RU,1702337471
37,kingston,17.997,-76.7936,29.53,72,20,9.26,JM,1702337471
38,college,64.8569,-147.8028,-6.03,77,100,4.63,US,1702337471
39,adamstown,-25.066,-130.1015,21.74,60,1,0.93,PN,1702337472
40,skagen,57.7209,10.5839,3.18,76,100,9.18,DK,1702337472
41,lihue,21.9789,-159.3672,28.58,78,20,4.12,US,1702337473
42,cabedelo,-6.9811,-34.8339,26.37,75,1,6.07,BR,1702337473
43,chokwe,-24.5333,32.9833,22.95,97,98,0.53,MZ,1702337473
44,mariental,-24.6333,17.9667,22.65,14,0,4.86,,1702337474
45,waitangi,-43.9535,-176.5597,14.9,91,100,4.02,NZ,1702337474
46,loango,-4.6719,11.8312,24.29,90,100,2.02,CG,1702337475
47,hammerfest,70.6634,23.6821,-1.75,93,75,4.12,NO,1702337475
48,margaret river,-33.95,115.0667,21.93,52,0,3.06,AU,1702337449
49,bredasdorp,-34.5322,20.0403,16.18,84,60,6.55,ZA,1702337476
50,sisimiut,66.9395,-53.6735,-0.99,95,100,6.78,GL,1702337477
51,carmelo,-33.9892,-58.2856,23.47,59,37,4.66,UY,1702337477
52,bilibino,68.0546,166.4372,-20.38,95,100,1.54,RU,1702337477
53,chibougamau,49.9168,-74.3659,-10.21,85,100,3.6,CA,1702337478
54,magumeri,12.1131,12.8274,16.55,26,7,3.8,NG,1702337478
55,saldanha,-33.0117,17.9442,16.03,89,65,9.9,ZA,1702337479
56,mar del plata,-38.0023,-57.5575,22.13,88,0,13.86,AR,1702337479
57,puerto carreno,6.189,-67.4859,31.99,55,0,2.57,CO,1702337479
58,baidoa,3.1138,43.6498,22.81,87,100,3.84,SO,1702337480
